Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
HD 37124 c,HD 37124,1,3,Radial Velocity,2002,0,,1.61,,,182.427,0.574,,,,,0.78,31.6634
HD 37124 d,HD 37124,1,3,Radial Velocity,2005,0,2295.0,3.19,,,209.76,0.66,,,,,0.78,31.6634
HD 37605 b,HD 37605,1,2,Radial Velocity,2004,0,54.23,0.26,,,902.6372,2.84,,,5475.0,,,46.7864
HD 37605 c,HD 37605,1,2,Radial Velocity,2012,0,2720.0,3.74,,,1013.8777,3.19,,,5329.0,0.91,0.94,46.7864
HD 3765 b,HD 3765,1,1,Radial Velocity,2021,0,1211.0,2.108,,,54.98431441,0.173,,,5049.8,0.83061,0.851785,17.926
HD 38283 b,HD 38283,1,1,Radial Velocity,2010,0,363.2,1.02,,,108.0622,0.34,,,5998.0,,1.085,38.0615
HD 38529 b,HD 38529,2,2,Radial Velocity,2000,0,14.31014,0.1329,,,278.41768453,0.876,,,5624.21,2.857838,1.529286,42.3538
HD 38529 c,HD 38529,2,2,Radial Velocity,2000,0,2132.4,,,,4204.8909,13.23,,,,,1.34,42.3538
HD 38801 b,HD 38801,1,1,Radial Velocity,2009,0,687.14,1.66,,,3178.3,10.0,,,5207.0,2.41,1.29,91.4349
HD 39091 b,HD 39091,1,3,Radial Velocity,2001,0,2088.33,,,,4004.6379282,12.6,,,5998.0,1.19,1.07,18.2702
HD 39194 b,HD 39194,1,3,Radial Velocity,2021,0,5.6368,0.056,,,4.0,0.01258541,,,5205.0,,0.67,26.4131
HD 39194 c,HD 39194,1,3,Radial Velocity,2021,0,14.03,0.103,,,6.3,0.01982202,,,5205.0,,0.67,26.4131
HD 39194 d,HD 39194,1,3,Radial Velocity,2021,0,33.91,0.185,,,4.0,0.01258541,,,5205.0,,0.67,26.4131
